panel,panel_heading,evidence_class,diagnostic_key,public_label,scope_or_n,analytical_object,metric,reference_or_point,lower_value,upper_value,minimum_cell_context,maximum_cell_context,representation,method,interval_excludes_zero_n,total_countries,interpretation
A_grid_level,Panel A — Grid-level robustness and sensitivity,provenance_composition_sensitivity,rmc_exclude_mixed_changed,Additional RMC-provenance sensitivity excluding countries classified as mixed/changed in the RMC provenance registry,n = 20,Full-grid range,Difference in Spearman rho,0.8285714285714284,0.8285714285714284,0.8285714285714284,CMUR × consumption,RMC × consumption,,,,,Common n = 20 after excluding countries classified as mixed/changed in the RMC provenance registry; provenance regime and country composition are confounded.
B_selected_endpoint,Panel B — Selected-endpoint sensitivity (secondary descriptive evidence),secondary_endpoint,full_reference,Full 2010–2023 reference,n = 27,Selected endpoint cell difference,Difference in Spearman rho,0.5958485958485958,0.5958485958485958,0.5958485958485958,,,,,,,Full-period selected endpoint; secondary descriptive evidence
B_selected_endpoint,Panel B — Selected-endpoint sensitivity (secondary descriptive evidence),secondary_endpoint,published_pc,Published per-capita series,n = 27,Selected endpoint cell difference,Difference in Spearman rho,0.6031746031746031,0.6031746031746031,0.6031746031746031,,,,,,,Alternative denominator convention
B_selected_endpoint,Panel B — Selected-endpoint sensitivity (secondary descriptive evidence),secondary_endpoint,common_log_CMUR,Common-log CMUR sensitivity,n = 27,Selected endpoint cell difference,Difference in Spearman rho,0.7960927960927962,0.7960927960927962,0.7960927960927962,,,,,,,Alternative CMUR progress-scale convention
B_selected_endpoint,Panel B — Selected-endpoint sensitivity (secondary descriptive evidence),secondary_endpoint,Theil_Sen,Theil–Sen,n = 27,Selected endpoint cell difference,Difference in Spearman rho,0.7148962148962148,0.7148962148962148,0.7148962148962148,,,,,,,Alternative country-trend estimator
B_selected_endpoint,Panel B — Selected-endpoint sensitivity (secondary descriptive evidence),secondary_endpoint,total_scale,Total-scale sensitivity,n = 27,Selected endpoint cell difference,Difference in Spearman rho,0.4304029304029304,0.4304029304029304,0.4304029304029304,,,,,,,Alternative scale/estimand convention
B_selected_endpoint,Panel B — Selected-endpoint sensitivity (secondary descriptive evidence),secondary_endpoint_deletion,LOCO,Leave-one-country-out,27 runs; n = 26 each,Selected endpoint cell difference,Difference in Spearman rho,,0.4697435897435896,0.7329914529914529,,,,,,,Deletion perturbation; selected endpoint definition unchanged
B_selected_endpoint,Panel B — Selected-endpoint sensitivity (secondary descriptive evidence),secondary_endpoint_deletion,LOYO,Leave-one-year-out,14 runs; n = 27 each,Selected endpoint cell difference,Difference in Spearman rho,,0.5341880341880343,0.6282051282051283,,,,,,,Deletion perturbation; selected endpoint definition unchanged
B_selected_endpoint,Panel B — Selected-endpoint sensitivity (secondary descriptive evidence),secondary_endpoint_temporal_support,CMUR_even_year,Common even-year sensitivity,n = 27; 7 retained calendar years,Selected endpoint cell difference,Difference in Spearman rho,0.5695970695970696,0.5695970695970696,0.5695970695970696,,,,,,,Common even-year temporal-support convention
B_selected_endpoint,Panel B — Selected-endpoint sensitivity (secondary descriptive evidence),secondary_endpoint_bootstrap,bootstrap_block_2,"Joint residual-block bootstrap, block 2","n = 27; B = 10,000",Selected endpoint cell difference,Difference in Spearman rho,0.6001221001221001,0.4786324786324786,0.7240689865689864,,,,,,,Model-dependent joint residual-block bootstrap diagnostic; selected endpoint remains secondary
B_selected_endpoint,Panel B — Selected-endpoint sensitivity (secondary descriptive evidence),secondary_endpoint_bootstrap,bootstrap_block_3,"Joint residual-block bootstrap, block 3","n = 27; B = 10,000",Selected endpoint cell difference,Difference in Spearman rho,0.6037851037851039,0.4835012210012209,0.7234432234432234,,,,,,,Model-dependent joint residual-block bootstrap diagnostic; selected endpoint remains secondary
C_trend_intervals,Panel C — Country trend-interval summary,trend_interval_summary,CMUR|conventional,CMUR — conventional,n = 27,Country trend interval excludes-zero count,Countries (of 27),,,,,,CMUR,conventional,21.0,27.0,Compact interval summary only; not a significant/non-significant country classification
C_trend_intervals,Panel C — Country trend-interval summary,trend_interval_summary,CMUR|HC3,CMUR — HC3,n = 27,Country trend interval excludes-zero count,Countries (of 27),,,,,,CMUR,HC3,19.0,27.0,Compact interval summary only; not a significant/non-significant country classification
C_trend_intervals,Panel C — Country trend-interval summary,trend_interval_summary,CMUR|HAC_lag1,CMUR — HAC_lag1,n = 27,Country trend interval excludes-zero count,Countries (of 27),,,,,,CMUR,HAC_lag1,20.0,27.0,Compact interval summary only; not a significant/non-significant country classification
C_trend_intervals,Panel C — Country trend-interval summary,trend_interval_summary,CMUR|HAC_lag2,CMUR — HAC_lag2,n = 27,Country trend interval excludes-zero count,Countries (of 27),,,,,,CMUR,HAC_lag2,20.0,27.0,Compact interval summary only; not a significant/non-significant country classification
C_trend_intervals,Panel C — Country trend-interval summary,trend_interval_summary,DMC|conventional,DMC — conventional,n = 27,Country trend interval excludes-zero count,Countries (of 27),,,,,,DMC,conventional,15.0,27.0,Compact interval summary only; not a significant/non-significant country classification
C_trend_intervals,Panel C — Country trend-interval summary,trend_interval_summary,DMC|HC3,DMC — HC3,n = 27,Country trend interval excludes-zero count,Countries (of 27),,,,,,DMC,HC3,13.0,27.0,Compact interval summary only; not a significant/non-significant country classification
C_trend_intervals,Panel C — Country trend-interval summary,trend_interval_summary,DMC|HAC_lag1,DMC — HAC_lag1,n = 27,Country trend interval excludes-zero count,Countries (of 27),,,,,,DMC,HAC_lag1,12.0,27.0,Compact interval summary only; not a significant/non-significant country classification
C_trend_intervals,Panel C — Country trend-interval summary,trend_interval_summary,DMC|HAC_lag2,DMC — HAC_lag2,n = 27,Country trend interval excludes-zero count,Countries (of 27),,,,,,DMC,HAC_lag2,13.0,27.0,Compact interval summary only; not a significant/non-significant country classification
C_trend_intervals,Panel C — Country trend-interval summary,trend_interval_summary,RMC|conventional,RMC — conventional,n = 27,Country trend interval excludes-zero count,Countries (of 27),,,,,,RMC,conventional,15.0,27.0,Compact interval summary only; not a significant/non-significant country classification
C_trend_intervals,Panel C — Country trend-interval summary,trend_interval_summary,RMC|HC3,RMC — HC3,n = 27,Country trend interval excludes-zero count,Countries (of 27),,,,,,RMC,HC3,10.0,27.0,Compact interval summary only; not a significant/non-significant country classification
C_trend_intervals,Panel C — Country trend-interval summary,trend_interval_summary,RMC|HAC_lag1,RMC — HAC_lag1,n = 27,Country trend interval excludes-zero count,Countries (of 27),,,,,,RMC,HAC_lag1,15.0,27.0,Compact interval summary only; not a significant/non-significant country classification
C_trend_intervals,Panel C — Country trend-interval summary,trend_interval_summary,RMC|HAC_lag2,RMC — HAC_lag2,n = 27,Country trend interval excludes-zero count,Countries (of 27),,,,,,RMC,HAC_lag2,15.0,27.0,Compact interval summary only; not a significant/non-significant country classification
C_trend_intervals,Panel C — Country trend-interval summary,trend_interval_summary,TERR|conventional,TERR — conventional,n = 27,Country trend interval excludes-zero count,Countries (of 27),,,,,,TERR,conventional,21.0,27.0,Compact interval summary only; not a significant/non-significant country classification
C_trend_intervals,Panel C — Country trend-interval summary,trend_interval_summary,TERR|HC3,TERR — HC3,n = 27,Country trend interval excludes-zero count,Countries (of 27),,,,,,TERR,HC3,21.0,27.0,Compact interval summary only; not a significant/non-significant country classification
C_trend_intervals,Panel C — Country trend-interval summary,trend_interval_summary,TERR|HAC_lag1,TERR — HAC_lag1,n = 27,Country trend interval excludes-zero count,Countries (of 27),,,,,,TERR,HAC_lag1,21.0,27.0,Compact interval summary only; not a significant/non-significant country classification
C_trend_intervals,Panel C — Country trend-interval summary,trend_interval_summary,TERR|HAC_lag2,TERR — HAC_lag2,n = 27,Country trend interval excludes-zero count,Countries (of 27),,,,,,TERR,HAC_lag2,21.0,27.0,Compact interval summary only; not a significant/non-significant country classification
C_trend_intervals,Panel C — Country trend-interval summary,trend_interval_summary,CFOOT|conventional,CFOOT — conventional,n = 27,Country trend interval excludes-zero count,Countries (of 27),,,,,,CFOOT,conventional,21.0,27.0,Compact interval summary only; not a significant/non-significant country classification
C_trend_intervals,Panel C — Country trend-interval summary,trend_interval_summary,CFOOT|HC3,CFOOT — HC3,n = 27,Country trend interval excludes-zero count,Countries (of 27),,,,,,CFOOT,HC3,18.0,27.0,Compact interval summary only; not a significant/non-significant country classification
C_trend_intervals,Panel C — Country trend-interval summary,trend_interval_summary,CFOOT|HAC_lag1,CFOOT — HAC_lag1,n = 27,Country trend interval excludes-zero count,Countries (of 27),,,,,,CFOOT,HAC_lag1,19.0,27.0,Compact interval summary only; not a significant/non-significant country classification
C_trend_intervals,Panel C — Country trend-interval summary,trend_interval_summary,CFOOT|HAC_lag2,CFOOT — HAC_lag2,n = 27,Country trend interval excludes-zero count,Countries (of 27),,,,,,CFOOT,HAC_lag2,19.0,27.0,Compact interval summary only; not a significant/non-significant country classification
